Name,Value,Race,Index,Winner,Role,Film
Susan Sarandon,1981,White,4,Non-Winner,Sally Matthews,Atlantic City
Meryl Streep,1981,White,5,Non-Winner,Anna Sara Woodruff,The French Lieutenants Woman
Meryl Streep,1982,White,1,Winner,Sophie Zawistowski,Sophies Choice
Julie Andrews,1982,White,2,Non-Winner,Victor Grazinski Victoria Grant,VictorVictoria
Jessica Lange,1982,White,3,Non-Winner,Frances Farmer,Frances
Sissy Spacek,1982,White,4,Non-Winner,Beth Horman,Missing
Debra Winger,1982,White,5,Non-Winner,Paula Pokrifki,An Officer and a Gentleman
Shirley MacLaine,1983,White,1,Winner,Aurora Greenway,Terms of Endearment
Jane Alexander,1983,White,2,Non-Winner,Carol Wetherly,Testament
Meryl Streep,1983,White,3,Non-Winner,Karen Silkwood,Silkwood
Julie Walters,1983,White,4,Non-Winner,Susan White Rita,Educating Rita
Debra Winger,1983,White,5,Non-Winner,Emma Greenway Horton,Terms of Endearment
Sally Field,1984,White,1,Winner,Edna Spalding,Places in the Heart
Judy Davis,1984,White,2,Non-Winner,Adela Quested,A Passage to India
Jessica Lange,1984,White,3,Non-Winner,Jewell Ivy,Country
Vanessa Redgrave,1984,White,4,Non-Winner,Olive Chancellor,The Bostonians
Sissy Spacek,1984,White,5,Non-Winner,Mae Garvey,The River
Whoopi Goldberg,1985,Non-White,1,Non-Winner,Celie HarrisJohnson,The Color Purple
Geraldine Page,1985,White,1,Winner,Carrie Watts,The Trip to Bountiful
Anne Bancroft,1985,White,2,Non-Winner,Miriam Ruth Anna Maria Burchetti,Agnes of God
Jessica Lange,1985,White,3,Non-Winner,Patsy Cline,Sweet Dreams
Meryl Streep,1985,White,4,Non-Winner,Karen Blixen,Out of Africa
Marlee Matlin,1986,White,1,Winner,Sarah Norman,Children of a Lesser God
Jane Fonda,1986,White,2,Non-Winner,Alex Sternbergen Viveca Van Loren,The Morning After
Sissy Spacek,1986,White,3,Non-Winner,Babe Botrelle Rebecca MaGrath,Crimes of the Heart
Kathleen Turner,1986,White,4,Non-Winner,Peggy Sue KelcherBodell,Peggy Sue Got Married
Sigourney Weaver,1986,White,5,Non-Winner,Ellen Ripley,Aliens
Cher,1987,White,1,Winner,Loretta Castorini,Moonstruck
Glenn Close,1987,White,2,Non-Winner,Alex Forrest,Fatal Attraction
Holly Hunter,1987,White,3,Non-Winner,Jane Craig,Broadcast News
Sally Kirkland,1987,White,4,Non-Winner,Anna,Anna
Meryl Streep,1987,White,5,Non-Winner,Helen Archer,Ironweed
Jodie Foster,1988,White,1,Winner,Sarah Tobias,The Accused
Glenn Close,1988,White,2,Non-Winner,Marquise Isabelle de Merteuil,Dangerous Liaisons
Melanie Griffith,1988,White,3,Non-Winner,Tess McGill,Working Girl
Meryl Streep,1988,White,4,Non-Winner,Lindy Chamberlain,A Cry in the Dark
