Name,Value,Race,Gender,Index,Winner,Role,Film
Roman Polanski,1980,White,Male,3,Non-Winner,Roman Polanski,Tess
Richard Rush,1980,White,Male,4,Non-Winner,Richard Rush,The Stunt Man
Martin Scorsese,1980,White,Male,5,Non-Winner,Martin Scorsese,Raging Bull
Warren Beatty,1981,White,Male,1,Winner,Warren Beatty,Reds
Hugh Hudson,1981,White,Male,2,Non-Winner,Hugh Hudson,Chariots of Fire
Louis Malle,1981,White,Male,3,Non-Winner,Louis Malle,Atlantic City
Mark Rydell,1981,White,Male,4,Non-Winner,Mark Rydell,On Golden Pond
Steven Spielberg,1981,White,Male,5,Non-Winner,Steven Spielberg,Raiders of the Lost Ark
Richard Attenborough,1982,White,Male,1,Winner,Richard Attenborough,Gandhi
Sidney Lumet,1982,White,Male,2,Non-Winner,Sidney Lumet,The Verdict
Wolfgang Petersen,1982,White,Male,3,Non-Winner,Wolfgang Petersen,Das Boot
Sydney Pollack,1982,White,Male,4,Non-Winner,Sydney Pollack,Tootsie
Steven Spielberg,1982,White,Male,5,Non-Winner,Steven Spielberg,ET the ExtraTerrestrial
James L Brooks,1983,White,Male,1,Winner,James L Brooks,Terms of Endearment
Bruce Beresford,1983,White,Male,2,Non-Winner,Bruce Beresford,Tender Mercies
Ingmar Bergman,1983,White,Male,3,Non-Winner,Ingmar Bergman,Fanny and Alexander
Mike Nichols,1983,White,Male,4,Non-Winner,Mike Nichols,Silkwood
Peter Yates,1983,White,Male,5,Non-Winner,Peter Yates,The Dresser
Milo Forman,1984,White,Male,1,Winner,Milo Forman,Amadeus
Woody Allen,1984,White,Male,2,Non-Winner,Woody Allen,Broadway Danny Rose
Robert Benton,1984,White,Male,3,Non-Winner,Robert Benton,Places in the Heart
Roland Joff,1984,White,Male,4,Non-Winner,Roland Joff,The Killing Fields
David Lean,1984,White,Male,5,Non-Winner,David Lean,A Passage to India
Hctor Babenco,1985,Non-White,Male,1,Non-Winner,Hctor Babenco,Kiss of the Spider Woman
Akira Kurosawa,1985,Non-White,Male,2,Non-Winner,Akira Kurosawa,Ran
Sydney Pollack,1985,White,Male,1,Winner,Sydney Pollack,Out of Africa
John Huston,1985,White,Male,2,Non-Winner,John Huston,Prizzis Honor
Peter Weir,1985,White,Male,3,Non-Winner,Peter Weir,Witness
Oliver Stone,1986,White,Male,1,Winner,Oliver Stone,Platoon
Woody Allen,1986,White,Male,2,Non-Winner,Woody Allen,Hannah and Her Sisters
James Ivory,1986,White,Male,3,Non-Winner,James Ivory,A Room with a View
Roland Joff,1986,White,Male,4,Non-Winner,Roland Joff,The Mission
David Lynch,1986,White,Male,5,Non-Winner,David Lynch,Blue Velvet
Bernardo Bertolucci,1987,White,Male,1,Winner,Bernardo Bertolucci,The Last Emperor
John Boorman,1987,White,Male,2,Non-Winner,John Boorman,Hope and Glory
Lasse Hallstrm,1987,White,Male,3,Non-Winner,Lasse Hallstrm,My Life as a Dog
Norman Jewison,1987,White,Male,4,Non-Winner,Norman Jewison,Moonstruck
Adrian Lyne,1987,White,Male,5,Non-Winner,Adrian Lyne,Fatal Attraction
Barry Levinson,1988,White,Male,1,Winner,Barry Levinson,Rain Man
Charles Crichton,1988,White,Male,2,Non-Winner,Charles Crichton,A Fish Called Wanda
Mike Nichols,1988,White,Male,3,Non-Winner,Mike Nichols,Working Girl
Alan Parker,1988,White,Male,4,Non-Winner,Alan Parker,Mississippi Burning
Martin Scorsese,1988,White,Male,5,Non-Winner,Martin Scorsese,The Last Temptation of Christ
Oliver Stone,1989,White,Male,1,Winner,Oliver Stone,Born on the Fourth of July
Woody Allen,1989,White,Male,2,Non-Winner,Woody Allen,Crimes and Misdemeanors
