Name,Value,Race,Index,Winner,Role,Film
Al Pacino,1992,White,3,Non-Winner,Richard Ricky Roma,Glengarry Glen Ross
David Paymer,1992,White,4,Non-Winner,Stan Young,Mr Saturday Night
Tommy Lee Jones,1993,White,1,Winner,US Marshal Samuel Gerard,The Fugitive
Leonardo DiCaprio,1993,White,2,Non-Winner,Arnie Grape,Whats Eating Gilbert Grape
Ralph Fiennes,1993,White,3,Non-Winner,Amon Geth,Schindlers List
John Malkovich,1993,White,4,Non-Winner,Mitch Leary,In the Line of Fire
Pete Postlethwaite,1993,White,5,Non-Winner,Giuseppe Conlon,In the Name of the Father
Samuel L Jackson,1994,Non-White,1,Non-Winner,Jules Winnfield,Pulp Fiction
Martin Landau,1994,White,1,Winner,Bla Lugosi,Ed Wood
Chazz Palminteri,1994,White,2,Non-Winner,Cheech,Bullets over Broadway
Paul Scofield,1994,White,3,Non-Winner,Mark Van Doren,Quiz Show
Gary Sinise,1994,White,4,Non-Winner,Lt Dan Taylor,Forrest Gump
Kevin Spacey,1995,White,1,Winner,Roger Verbal Kint,The Usual Suspects
James Cromwell,1995,White,2,Non-Winner,Farmer Arthur Hoggett,Babe
Ed Harris,1995,White,3,Non-Winner,Gene Kranz,Apollo
Brad Pitt,1995,White,4,Non-Winner,Jeffrey Goines,Monkeys
Tim Roth,1995,White,5,Non-Winner,Archibald Cunningham,Rob Roy
Cuba Gooding Jr,1996,Non-White,1,Winner,Rod Tidwell,Jerry Maguire
William H Macy,1996,White,1,Non-Winner,Jerry Lundegaard,Fargo
Armin MuellerStahl,1996,White,2,Non-Winner,Peter Helfgott,Shine
Edward Norton,1996,White,3,Non-Winner,Aaron Stampler,Primal Fear
James Woods,1996,White,4,Non-Winner,Byron De La Beckwith,Ghosts of Mississippi
Robin Williams,1997,White,1,Winner,Dr Sean Maguire,Good Will Hunting
Robert Forster,1997,White,2,Non-Winner,Max Cherry,Jackie Brown
Anthony Hopkins,1997,White,3,Non-Winner,John Quincy Adams,Amistad
Greg Kinnear,1997,White,4,Non-Winner,Simon Bishop,As Good as It Gets
Burt Reynolds,1997,White,5,Non-Winner,Jack Horner,Boogie Nights
James Coburn,1998,White,1,Winner,Glen Whitehouse,Affliction
Robert Duvall,1998,White,2,Non-Winner,Jerome Facher,A Civil Action
Ed Harris,1998,White,3,Non-Winner,Christof,The Truman Show
Geoffrey Rush,1998,White,4,Non-Winner,Philip Henslowe,Shakespeare in Love
Billy Bob Thornton,1998,White,5,Non-Winner,Jacob Mitchell,A Simple Plan
Michael Clarke Duncan,1999,Non-White,1,Non-Winner,John Coffey,The Green Mile
Michael Caine,1999,White,1,Winner,Dr Wilbur Larch,The Cider House Rules
Tom Cruise,1999,White,2,Non-Winner,Frank TJ Mackey,Magnolia
Jude Law,1999,White,3,Non-Winner,Dickie Greenleaf,The Talented Mr Ripley
Haley Joel Osment,1999,White,4,Non-Winner,Cole Sear,The Sixth Sense
Benicio del Toro,2000,Non-White,1,Winner,Javier Rodriguez,Traffic
Jeff Bridges,2000,White,1,Non-Winner,Jackson Evans,The Contender
Willem Dafoe,2000,White,2,Non-Winner,Max Schreck,Shadow of the Vampire
Albert Finney,2000,White,3,Non-Winner,Edward L Masry,Erin Brockovich
Joaquin Phoenix,2000,White,4,Non-Winner,Commodus,Gladiator
Ben Kingsley,2001,Non-White,1,Non-Winner,Don Logan,Sexy Beast
Jim Broadbent,2001,White,1,Winner,John Bayley,Iris
Ethan Hawke,2001,White,2,Non-Winner,Officer Jake Hoyt,Training Day
Ian McKellen,2001,White,3,Non-Winner,Gandalf the Grey,The Lord of the Rings The Fellowship of the Ring
Jon Voight,2001,White,4,Non-Winner,Howard Cosell,Ali
Chris Cooper,2002,White,1,Winner,John Laroche,Adaptation
Ed Harris,2002,White,2,Non-Winner,Richard Richie Brown,The Hours
Paul Newman,2002,White,3,Non-Winner,John Rooney,Road to Perdition
John C Reilly,2002,White,4,Non-Winner,Amos Hart,Chicago
Christopher Walken,2002,White,5,Non-Winner,Frank Abagnale Sr,Catch Me If You Can
Benicio del Toro,2003,Non-White,1,Non-Winner,Jack Jordan,Grams
Djimon Hounsou,2003,Non-White,2,Non-Winner,Mateo,In America
Ken Watanabe,2003,Non-White,3,Non-Winner,Lord Moritsugu Katsumoto,The Last Samurai
Tim Robbins,2003,White,1,Winner,Dave Boyle,Mystic River
Alec Baldwin,2003,White,2,Non-Winner,Shelly Kaplow,The Cooler
Morgan Freeman,2004,Non-White,1,Winner,Eddie ScrapIron Dupris,Million Dollar Baby
Jamie Foxx,2004,Non-White,2,Non-Winner,Max Durocher,Collateral
Alan Alda,2004,White,1,Non-Winner,Owen Brewster,The Aviator
Thomas Haden Church,2004,White,2,Non-Winner,Jack Cole,Sideways
Clive Owen,2004,White,3,Non-Winner,Larry Gray,Closer
George Clooney,2005,White,1,Winner,Robert Barnes,Syriana
Matt Dillon,2005,White,2,Non-Winner,Officer John Ryan,Crash
Paul Giamatti,2005,White,3,Non-Winner,Joe Gould,Cinderella Man
Jake Gyllenhaal,2005,White,4,Non-Winner,Jack Twist,Brokeback Mountain
William Hurt,2005,White,5,Non-Winner,Richie Cusack,A History of Violence
Djimon Hounsou,2006,Non-White,1,Non-Winner,Solomon Vandy,Blood Diamond
Eddie Murphy,2006,Non-White,2,Non-Winner,James Thunder Early,Dreamgirls
Alan Arkin,2006,White,1,Winner,Edwin Hoover,Little Miss Sunshine
Jackie Earle Haley,2006,White,2,Non-Winner,Ronald James McGorvey,Little Children
Mark Wahlberg,2006,White,3,Non-Winner,Staff Sgt Sean Dignam,The Departed
Javier Bardem,2007,White,1,Winner,Anton Chigurh,No Country for Old Men
Casey Affleck,2007,White,2,Non-Winner,Robert Ford,The Assassination of Jesse James by the Coward Robert Ford
