Name,Value,Race,Index,Winner,Role,Film
Marlon Brando,1972,White,1,Winner,Vito Corleone,The Godfather
Michael Caine,1972,White,2,Non-Winner,Milo Tindle,Sleuth
Laurence Olivier,1972,White,3,Non-Winner,Andrew Wyke,
Peter OToole,1972,White,4,Non-Winner,Jack Gurney th Earl of Gurney,The Ruling Class
Jack Lemmon,1973,White,1,Winner,Harry Stoner,Save the Tiger
Marlon Brando,1973,White,2,Non-Winner,Paul,Last Tango in Paris
Jack Nicholson,1973,White,3,Non-Winner,Signalman First Class Billy L Badass Buddusky,The Last Detail
Al Pacino,1973,White,4,Non-Winner,Frank Serpico,Serpico
Robert Redford,1973,White,5,Non-Winner,Johnny Kelly Hooker,The Sting
Art Carney,1974,White,1,Winner,Harry Coombes,Harry and Tonto
Albert Finney,1974,White,2,Non-Winner,Hercule Poirot,Murder on the Orient Express
Dustin Hoffman,1974,White,3,Non-Winner,Lenny Bruce,Lenny
Jack Nicholson,1974,White,4,Non-Winner,J J Jake Gittes,Chinatown
Al Pacino,1974,White,5,Non-Winner,Michael Corleone,The Godfather Part II
Jack Nicholson,1975,White,1,Winner,Randle Patrick Mac McMurphy,One Flew Over the Cuckoos Nest
Walter Matthau,1975,White,2,Non-Winner,Willy Clark,The Sunshine Boys
Al Pacino,1975,White,3,Non-Winner,Sonny Wortzik,Dog Day Afternoon
Maximilian Schell,1975,White,4,Non-Winner,Arthur Goldman,The Man in the Glass Booth
James Whitmore,1975,White,5,Non-Winner,Harry S Truman,Give em Hell Harry
Peter Finch,1976,White,1,Winner,Howard Beale,Network
Robert De Niro,1976,White,2,Non-Winner,Travis Bickle,Taxi Driver
Giancarlo Giannini,1976,White,3,Non-Winner,Pasqualino Frafuso,Seven Beauties
William Holden,1976,White,4,Non-Winner,Max Schumacher,Network
Sylvester Stallone,1976,White,5,Non-Winner,Rocky Balboa,Rocky
Richard Dreyfuss,1977,White,1,Winner,Elliot Garfield,The Goodbye Girl
Woody Allen,1977,White,2,Non-Winner,Alvy Singer,Annie Hall
Richard Burton,1977,White,3,Non-Winner,Martin Dysart,Equus
Marcello Mastroianni,1977,White,4,Non-Winner,Gabriele,A Special Day
John Travolta,1977,White,5,Non-Winner,Anthony Tony Manero,Saturday Night Fever
Jon Voight,1978,White,1,Winner,Luke Martin,Coming Home
Warren Beatty,1978,White,2,Non-Winner,Joe Pendleton,Heaven Can Wait
Gary Busey,1978,White,3,Non-Winner,Buddy Holly,The Buddy Holly Story
Robert De Niro,1978,White,4,Non-Winner,Michael Vronsky,The Deer Hunter
Laurence Olivier,1978,White,5,Non-Winner,Ezra Lieberman,The Boys from Brazil
Dustin Hoffman,1979,White,1,Winner,Ted Kramer,Kramer vs Kramer
Jack Lemmon,1979,White,2,Non-Winner,Jack Godell,The China Syndrome
Al Pacino,1979,White,3,Non-Winner,Arthur Kirkland,And Justice for All
Roy Scheider,1979,White,4,Non-Winner,Joe Gideon,All That Jazz
Peter Sellers,1979,White,5,Non-Winner,Chance the Gardener aka Chauncey Gardiner,Being There
Robert De Niro,1980,White,1,Winner,Jake LaMotta,Raging Bull
Robert Duvall,1980,White,2,Non-Winner,Lieutenant Colonel Wilbur Bull Meechum,The Great Santini
John Hurt,1980,White,3,Non-Winner,John Merrick,The Elephant Man
Jack Lemmon,1980,White,4,Non-Winner,Scottie Templeton,Tribute
Peter OToole,1980,White,5,Non-Winner,Eli Cross,The Stunt Man
Henry Fonda,1981,White,1,Winner,Norman Thayer Jr,On Golden Pond
Warren Beatty,1981,White,2,Non-Winner,John Silas Jack Reed,Reds
Burt Lancaster,1981,White,3,Non-Winner,Lou Pascal,Atlantic City
Dudley Moore,1981,White,4,Non-Winner,Arthur Bach,Arthur
Paul Newman,1981,White,5,Non-Winner,Michael Colin Gallagher,Absence of Malice
Ben Kingsley,1982,Non-White,1,Winner,Mahatma Gandhi,Gandhi
Dustin Hoffman,1982,White,1,Non-Winner,Michael Dorsey Dorothy Michaels,Tootsie
Jack Lemmon,1982,White,2,Non-Winner,Edmund Horman,Missing
Paul Newman,1982,White,3,Non-Winner,Frank Galvin,The Verdict
Peter OToole,1982,White,4,Non-Winner,Alan Swann,My Favorite Year
Robert Duvall,1983,White,1,Winner,Mac Sledge,Tender Mercies
Michael Caine,1983,White,2,Non-Winner,Dr Frank Bryant,Educating Rita
Tom Conti,1983,White,3,Non-Winner,Gowan McGland,Reuben Reuben
Tom Courtenay,1983,White,4,Non-Winner,Norman,The Dresser
Albert Finney,1983,White,5,Non-Winner,Sir,
F Murray Abraham,1984,White,1,Winner,Antonio Salieri,Amadeus
Jeff Bridges,1984,White,2,Non-Winner,Starman,Starman
Albert Finney,1984,White,3,Non-Winner,Geoffrey Firmin,Under the Volcano
Tom Hulce,1984,White,4,Non-Winner,Wolfgang Amadeus Mozart,Amadeus
Sam Waterston,1984,White,5,Non-Winner,Sydney Schanberg,The Killing Fields
William Hurt,1985,White,1,Winner,Luis Molina,Kiss of the Spider Woman
Harrison Ford,1985,White,2,Non-Winner,Detective Captain John Book,Witness
James Garner,1985,White,3,Non-Winner,Murphy Jones,Murphys Romance
Jack Nicholson,1985,White,4,Non-Winner,Charley Partanna,Prizzis Honor
Jon Voight,1985,White,5,Non-Winner,Oscar Manny Manheim,Runaway Train
Dexter Gordon,1986,Non-White,1,Non-Winner,Dale Turner,Round Midnight
Paul Newman,1986,White,1,Winner,Fast Eddie Felson,The Color of Money
Bob Hoskins,1986,White,2,Non-Winner,George,Mona Lisa
William Hurt,1986,White,3,Non-Winner,James Leeds,Children of a Lesser God
James Woods,1986,White,4,Non-Winner,Richard Boyle,Salvador
Michael Douglas,1987,White,1,Winner,Gordon Gekko,Wall Street
William Hurt,1987,White,2,Non-Winner,Tom Grunick,Broadcast News
Marcello Mastroianni,1987,White,3,Non-Winner,Romano,Dark Eyes
Jack Nicholson,1987,White,4,Non-Winner,Francis Phelan,Ironweed
Robin Williams,1987,White,5,Non-Winner,Adrian Cronauer,Good Morning Vietnam
Edward James Olmos,1988,Non-White,1,Non-Winner,Jaime Escalante,Stand and Deliver
Dustin Hoffman,1988,White,1,Winner,Raymond Babbitt,Rain Man
Gene Hackman,1988,White,2,Non-Winner,Agent Rupert Anderson,Mississippi Burning
Tom Hanks,1988,White,3,Non-Winner,Josh Baskin,Big
Max von Sydow,1988,White,4,Non-Winner,Lassefar,Pelle the Conqueror
Morgan Freeman,1989,Non-White,1,Non-Winner,Hoke Colburn,Driving Miss Daisy
Daniel DayLewis,1989,White,1,Winner,Christy Brown,My Left Foot
Kenneth Branagh,1989,White,2,Non-Winner,King Henry V of England,Henry V
Tom Cruise,1989,White,3,Non-Winner,Ron Kovic,Born on the Fourth of July
Robin Williams,1989,White,4,Non-Winner,John Charles Keats Keating,Dead Poets Society
Jeremy Irons,1990,White,1,Winner,Claus von Blow,Reversal of Fortune
Kevin Costner,1990,White,2,Non-Winner,Lieutenant John J Dunbar,Dances with Wolves
Robert De Niro,1990,White,3,Non-Winner,Leonard Lowe,Awakenings
Grard Depardieu,1990,White,4,Non-Winner,Cyrano de Bergerac,Cyrano de Bergerac
Richard Harris,1990,White,5,Non-Winner,Bull McCabe,The Field
Anthony Hopkins,1991,White,1,Winner,Dr Hannibal Lecter,The Silence of the Lambs
Warren Beatty,1991,White,2,Non-Winner,Benjamin Bugsy Siegel,Bugsy
Robert De Niro,1991,White,3,Non-Winner,Maximilian Max Cady,Cape Fear
Nick Nolte,1991,White,4,Non-Winner,Tom Wingo,The Prince of Tides
Robin Williams,1991,White,5,Non-Winner,Henry Parry Sagan,The Fisher King
Denzel Washington,1992,Non-White,1,Non-Winner,Malcolm X,Malcolm X
Al Pacino,1992,White,1,Winner,Lieutenant Colonel Frank Slade,Scent of a Woman
Robert Downey Jr,1992,White,2,Non-Winner,Charlie Chaplin,Chaplin
Clint Eastwood,1992,White,3,Non-Winner,William Will Munny,Unforgiven
Stephen Rea,1992,White,4,Non-Winner,Fergus,The Crying Game
Laurence Fishburne,1993,Non-White,1,Non-Winner,Ike Turner,Whats Love Got to Do with It
Tom Hanks,1993,White,1,Winner,Andrew Beckett,Philadelphia
Daniel DayLewis,1993,White,2,Non-Winner,Gerry Conlon,In the Name of the Father
Anthony Hopkins,1993,White,3,Non-Winner,James Stevens,The Remains of the Day
Liam Neeson,1993,White,4,Non-Winner,Oskar Schindler,Schindlers List
Morgan Freeman,1994,Non-White,1,Non-Winner,Ellis Boyd Red Redding,The Shawshank Redemption
Tom Hanks,1994,White,1,Winner,Forrest Gump,Forrest Gump
Nigel Hawthorne,1994,White,2,Non-Winner,King George III,The Madness of King George
Paul Newman,1994,White,3,Non-Winner,Donald Sully Sullivan,Nobodys Fool
John Travolta,1994,White,4,Non-Winner,Vincent Vega,Pulp Fiction
Nicolas Cage,1995,White,1,Winner,Ben Sanderson,Leaving Las Vegas
Richard Dreyfuss,1995,White,2,Non-Winner,Glenn Holland,Mr Hollands Opus
Anthony Hopkins,1995,White,3,Non-Winner,Richard Nixon,Nixon
Sean Penn,1995,White,4,Non-Winner,Matthew Poncelet,Dead Man Walking
Massimo Troisi,1995,White,5,Non-Winner,Mario Ruoppolo,Il Postino The Postman
Geoffrey Rush,1996,White,1,Winner,David Helfgott,Shine
Tom Cruise,1996,White,2,Non-Winner,Jerry Maguire,Jerry Maguire
Ralph Fiennes,1996,White,3,Non-Winner,Count Lszl de Almsy,The English Patient
Woody Harrelson,1996,White,4,Non-Winner,Larry Flynt,The People vs Larry Flynt
Billy Bob Thornton,1996,White,5,Non-Winner,Karl Childers,Sling Blade
Jack Nicholson,1997,White,1,Winner,Melvin Udall,As Good as It Gets
Matt Damon,1997,White,2,Non-Winner,Will Hunting,Good Will Hunting
Robert Duvall,1997,White,3,Non-Winner,Euliss Sonny Dewey,The Apostle
Peter Fonda,1997,White,4,Non-Winner,Ulysses Ulee Jackson,Ulees Gold
Dustin Hoffman,1997,White,5,Non-Winner,Stanley Motss,Wag the Dog
Roberto Benigni,1998,White,1,Winner,Guido Orefice,Life Is Beautiful
Tom Hanks,1998,White,2,Non-Winner,Captain John H Miller,Saving Private Ryan
Ian McKellen,1998,White,3,Non-Winner,James Whale,Gods and Monsters
Nick Nolte,1998,White,4,Non-Winner,Wade Whitehouse,Affliction
Edward Norton,1998,White,5,Non-Winner,Derek Vinyard,American History X
Denzel Washington,1999,Non-White,1,Non-Winner,Rubin The Hurricane Carter,The Hurricane
Kevin Spacey,1999,White,1,Winner,Lester Burnham,American Beauty
Russell Crowe,1999,White,2,Non-Winner,Jeffrey Wigand,The Insider
Richard Farnsworth,1999,White,3,Non-Winner,Alvin Straight,The Straight Story
Sean Penn,1999,White,4,Non-Winner,Emmet Ray,Sweet and Lowdown
